"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 03:44:04 UTC 2024","Sun Feb 11 03:44:05 UTC 2024","961","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Feb 11 03:16:44 UTC 2024","Sun Feb 11 03:17:02 UTC 2024","17678","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Feb 11 02:31:50 UTC 2024","Sun Feb 11 02:31:51 UTC 2024","733","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Feb 11 04:34:26 UTC 2024","Sun Feb 11 04:34:28 UTC 2024","1705","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Feb 11 02:52:03 UTC 2024","Sun Feb 11 02:52:19 UTC 2024","15477","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun Feb 11 02:31:42 UTC 2024","Sun Feb 11 02:31:42 UTC 2024","333","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Feb 11 02:40:56 UTC 2024","Sun Feb 11 02:41:48 UTC 2024","51101","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sun Feb 11 02:26:17 UTC 2024","Sun Feb 11 02:27:23 UTC 2024","65488","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Feb 11 02:30:17 UTC 2024","Sun Feb 11 02:30:24 UTC 2024","7160","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Feb 11 02:22:10 UTC 2024","Sun Feb 11 02:22:31 UTC 2024","20970","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 11 03:19:09 UTC 2024","Sun Feb 11 03:19:14 UTC 2024","4909","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Feb 11 04:14:50 UTC 2024","Sun Feb 11 04:14:52 UTC 2024","1642","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Feb 11 03:30:37 UTC 2024","Sun Feb 11 03:30:40 UTC 2024","3374","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Feb 11 04:34:39 UTC 2024","Sun Feb 11 04:35:02 UTC 2024","22444","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Feb 11 03:24:51 UTC 2024","Sun Feb 11 03:24:53 UTC 2024","2738","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Feb 11 02:34:25 UTC 2024","Sun Feb 11 02:34:32 UTC 2024","7209","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Feb 11 03:43:47 UTC 2024","Sun Feb 11 03:43:53 UTC 2024","6213","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sun Feb 11 02:44:58 UTC 2024","Sun Feb 11 02:44:59 UTC 2024","385","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Feb 11 03:17:02 UTC 2024","Sun Feb 11 03:17:05 UTC 2024","2874","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Feb 11 02:39:49 UTC 2024","Sun Feb 11 02:39:51 UTC 2024","2261","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Feb 11 03:18:50 UTC 2024","Sun Feb 11 03:19:07 UTC 2024","17125","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Feb 11 03:30:34 UTC 2024","Sun Feb 11 03:30:37 UTC 2024","2483","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Feb 11 02:44:33 UTC 2024","Sun Feb 11 02:44:36 UTC 2024","3185","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Feb 11 02:30:10 UTC 2024","Sun Feb 11 02:30:17 UTC 2024","6676","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Feb 11 03:43:53 UTC 2024","Sun Feb 11 03:44:02 UTC 2024","8636","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Feb 11 03:30:14 UTC 2024","Sun Feb 11 03:30:28 UTC 2024","14158","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Feb 11 02:35:45 UTC 2024","Sun Feb 11 02:35:57 UTC 2024","12408","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sun Feb 11 03:43:53 UTC 2024","Sun Feb 11 03:43:53 UTC 2024","320","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Feb 11 02:47:43 UTC 2024","Sun Feb 11 02:47:44 UTC 2024","361","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Feb 11 02:43:36 UTC 2024","Sun Feb 11 02:43:54 UTC 2024","18148","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 11 04:12:03 UTC 2024","Sun Feb 11 04:12:16 UTC 2024","12188","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Feb 11 02:46:48 UTC 2024","Sun Feb 11 02:46:57 UTC 2024","9034","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Feb 11 02:33:51 UTC 2024","Sun Feb 11 02:33:59 UTC 2024","8065","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Feb 11 02:46:32 UTC 2024","Sun Feb 11 02:46:48 UTC 2024","15855","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Feb 11 02:36:00 UTC 2024","Sun Feb 11 02:36:01 UTC 2024","439","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Feb 11 03:24:37 UTC 2024","Sun Feb 11 03:24:47 UTC 2024","10453","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
